Texte|Classe
déuriÈmé orientation améliorer équipement banlieue niveau commune grand ensemble .|Positive
localisation préfecture étudier constituer élément fondamental restructuration banlieue ( Nanterre Bobigny Créteil ) création centre urbain nouveau ( cergy-pontoise Évry ) .|Positive
avantage social économique activité banlieue connaître ; agir : - faire éclore véritable vie urbain faire naître animation ignorer cité-dortoir vidée population journée ; - décongestionner cœur agglomération remédiant entassement local industriel commercial vétuste nombre atelier bureau faciliter réalisation Paris Seine opération rénovation aménagement ; - éviter allongement constant temps trajet domicile-travail remédier progressivement problème circulation transport naître migration sens unique matin banlieue Paris soir direction contraire .|Positive
""" densité "" centre permettre desserte facilité ; renforcer pouvoir attractif attirer implantation équipement complémentaire faciliter création centre ."|Positive
banque installer facilement côté administration zone résidentiel ; commerce favorisé situer contact lieu emploi ; revenir volontiers cultiver distraire loin lieu bureau achat .|Positive
oui considérer ville réunion population centre urbain succession quartier habitant résident quartier travailler acheter distraient volontiers ; sens - donner notion vivant ville portée actuel permanent administratif - ville nouveau région Paris vrai ville faute révision limite communal actuel espace occuperont étendre commune ( 1 ) .|Positive
couronne ville bassin parisien aller cesser rapprocher Paris devoir faire entraverait croissance réduirait soulagement extension rapide devoir apporter région Paris .|Positive
condition emploi créer déplacer périmètre actuel agglomération parisien localiseront facilement - difficilement - 100 150 kilomètre 50 kilomètre ; motif venir indiquer préférable activité installer ville bassin parisien existant 80 100 kilomètre .|Positive
doute seul espérance desserrement inéluctable activité économique développement nécessaire surface aboutir rapprocher ville nouveau logement emploi .|Positive
bord eau pouvoir réserver sport nautique installation industriel proximité fleuve indispensable ; fond vallée espace vert installation loisir habitat dispersé pouvoir mettre site généralement agréable boucle Seine rare qualité .|Positive
cœur banlieue actuel enfin relier progressivement rénover restructuré constitution centre urbain digne nom - Nanterre Saint-Denis Bobigny Créteil rungis-choisy-le-roi - perdront objectif atteindre appellation banlieue évoquer pauvre éloigner sous-équipé .|Positive
zone région nord axe meaux-pontoise sud axe melun-fant vocation principalement agricole forestier trouver confirmer ; ville petit moyen pouvoir croître raisonnablement fonction accueil fortement affirmer résidence secondaire forme loisir air .|Positive
enfin localisation terrain libre 40 hectare préfecture nouveau département Seine-Saint-Denis permettre créer Bobigny centre secondaire emploi commerce constituer élément essentiel restructuration ensemble secteur .|Positive
1 - ÉTAT actuil partie vallée urbaniser : Pontoise – Saint-Ouen - aumône persan - Beaumont - Champagne seul agglomération bénéficier développement industriel .|Positive
tracé ancien ville échelle susciter admiration raccorder réseau primaire régional assurer efficacement liaison centre préfectoral capitale nouveau développement région .|Positive
qualité site demeurer principal zone environnement mise péril devoir impérativement sauvegardé .|Positive
prise compte dynamisme sud-ouest nouveau direction cohérence schéma directeur permettre sauvegarde grand bénéfice zone ensemble agglomération .|Positive
plateau boisé inoccupé prêtera réalisation infrastructure accueil activité important cohérence ailleurs présence actuel établissement existant - centre étude nucléaire saclay ( C.E.N.S.|Positive
préservation site vital équilibre général région urbain ; devoir conserver caractère propre réserve naturel susceptible recevoir lieu choisir équipement culturel loisir éventuellement secteur strictement limiter noyau résidentiel faible densité .|Positive
2 - principé amenagement schéma directeur conférer axe général vallée Seine vocation privilégiée organisation région Paris inscrire essentiel développement urbain part fleuve plateau bordant nord sud localisation précédemment décrire .|Positive
autoroute interurbaine Seine-et-Oise boucle montesson rocade banlieue bord Seine boucle Gennevilliers opération défense montesson rattacheront agglomération situer part aménagement devoir orienter essentiellement amélioration équipement organisation interne .|Positive
lotissement sud orly bénéficieront développement urbain fonction lesquel aménagement devoir orienter .|Positive
aménagement agglomération existant restructuration baser création infrastructure routière ferré contribueront mettre unité zone compartimenté site désenclaveront rapport Paris banlieue entourer .|Positive
aménagement facilité régularisation rivière grâce barrage construire Marne région Montmirail .|Positive
relier Paris R.E.R.|Positive
objectif devoir égard rechercher : - rythme développement ville répartition nouveau construction terrain devoir concevoir manière sauvegarder cœur ville engorgement prélude destruction souvent cœur ville mérite conserver : essor démographique rapide ville disposition quartier nouveau faire dépendre seul centre existant point passage obliger impliquerait nécessairement démolition centre devenir inadapté reconstruire échelle grand ; - type construction devoir constituer rupture marquer caractère ville environnement : type logement élevé devoir égard proscrit proximité ville périphérique .|Positive
débat architectural choix partiel quartier tour artère falloir tenter voir clair essentiel fonction urbain Paris devoir exercer conséquence fonction devoir évolution souhaité agglomération ville nouveau centre urbain nouveau .|Positive
"boulevard périphérique tronçon service conviction acquise travail mener vigueur terme tentation faire jour localiser siège social important autour "" engin "" moderne circulation automobile ."|Positive
temps sauver Paris intra-muros banlieue .|Positive
geste sens courageux doute décisif départ halle centrale Villette marché viande marché alimentaire gros centre urbain nouveau rénover linéairement étendra carrefour Belle-Épine commune rungis choisy-le-roi comprendre gare routier région parisien .|Positive
perspective ouvert schéma directeur devoir remédier obstacle faciliter ville Paris reconquête partie sol .|Positive
plan directeur ville Paris cours révision devoir tenir compte tirer conséquence structure ville concerner zonage mise quartier historique circulation transport réserve espace vert service public règlement urbanisme définir densité occupation .|Positive
lieu exemple faciliter circulation autobus création réserver encourager utilisation transport commun zone circulation automobile devoir limité création parc stationnement échange judicieusement disposé .|Positive
également souhaitable étudier tracé complémentaire : - radial supplémentaire ouest notamment gare Saint-Lazare boulevard périphérique ; - liaison Saint-Lazare - montparnasse .|Positive
Paris allégé tâche important encombrant exercice fonction primordial restaurant beauté quartier historique rejeter choix romantique iconoclaste table rase modernisant quartier rénover conserver ensemble volume modéré bâtiment ponctué accuser silhouette ville édifice élevé accepter moderne pénétration rocade parc stationnement strict discipline transport faveur transport commun multiplié souterrain surface Paris donner moyen remplir mesure besoin fin siècle - rôle irremplaçable cœur région urbain entier - vocation unique capitale politique culturel économique France - mission partager métropole européen mondial paris-dan-le-le-mur ville essentiel rester ville complet monde .|Positive
expliquer grand partie croissance trafic aérien ( 3 6 million voyageur orly Bourget 1960 58 million 1964 ) conduire envisager ouverture nouveau aéroport dizaine année encourager développement réseau ferroviaire transeuropéen création système autoroute international .|Positive
aménagement routier région permettre améliorer desserte autobus progrès éventuellement réalisable exploitation ligne routière rendre peut-être attractif aujourd'hui .|Positive
région parisien besoin aérodrome affaire relier principal centre activité .|Positive
rester constituer capitale autour ensemble économique évolution intéresser pays entier constituer atout échelle marché commun Europe .|Positive
Mue propre dynamisme ouvrir échange international sensible transformation civilisation industriel guider aménagement territoire soucieux équilibre région économie aller évoluer ?|Positive
paradoxe apparent expliquer faire activité dynamique mieux représenter région parisien taux expansion moindre ailleurs secteur économique recul industrie textile faible progression sidérurgie occuper généralement place modeste : structure activité favorisera croissance économie parisien métropole équilibre développement encourager atteindre seuil permettre accueillir efficacement activité pointe .|Positive
courant opposé manifestent : tendance concentration sensible industrie prévisible service commerce ; inverse action sélective décentralisation grand établissement industriel pouvoir aisément éloigner Paris petit * .|Positive
créer progressivement condition favorable implantation activité tertiaire réserver centre Paris .|Positive
mettre .|Positive
""" mise "" devoir exprimer politique défense conservation arbre existant ."|Positive
( 2 ) pouvoir ajouter terrasse Saint-Germain immédiat fleuve endroit aménagement approprié .|Positive
prise compte ensemble région schéma directeur plan urbanisme détaillé traduiront esprit secteur secteur permettre sauvegarder améliorer caractère zone détente devoir demeurer petit vallée .|Positive
- grand établissement technique : beau réussite haussmannien égout Paris conduire longtemps public visiter ; curiosité diriger demain visiteur grand établissement industriel centrale thermique usine chauffage urbain condition disposition nécessaire prévu : raison tenir négligeable enseignement technique appliquer pouvoir résulter admiration visite pouvoir susciter .|Positive
beauté étriquée : urbanisme parisien schéma directeur permettre renouveau beauté .|Positive
Éngagée État consultation international phase indispensable mobilisation compétence susceptible procurer matière « intelligence spatial territoire » développement raisonné métropole contemporain .|Positive
cours histoire génération apporter contribution embellissement Paris dernier année ajouter « beau ville monde » banlieue indifférencié style âme .|Positive
développement extraordinaire Paris région origine inscrire sol : petit ville croisé route Flandres Seine Paris romain gallo-romain côté Narbonne Lyon Toulouse .|Positive
devenir cours 80 dernier année agglomération géant compte nombre habitant équivalent petit pays européen parisa grandir lentement guider principe témoigner rare continuité pensée volonté opposer gigantisme préoccupation garder équilibre harmonieux partie ville soin apporter embellissement équipement .|Positive
Colbert assister Prévôt marchand Pelletier faire établir bullet Blondel plan « exact fidèle PARIS marquerait changement pouvoir suite commodité public faciliter communication quartier embellissement ville » .|Positive
nouveau enceinte commencer temps aménagement intérieur contribuaient embellissement commodité ville : création place percement rue fontaine monument aspect berge Seine .|Positive
mérite délimiter périmètre agglomération assurer meilleur utilisation sol sauvegardé espace libre boisé longtemps livrer cupidité lotisseur .|Positive
plan aménagement présenter tâche multiple construction équipement exiger conçu réaliser ordre harmonie politique volonté aménagement organisation affirmé arrêter .|Positive
falloir multiplier aménager installation permettre utilisation rationnel loisir journalier hebdomadaire culture détente sport oublier exploitation aviser richesse touristique ( monument site forêt parc plan eau etc. ) .|Positive
caractire RÉGION parisienne PARIS développer cours siècle idée directrice ensemble débordant enceinte successif tracée beau réalisation urbain manquer qualité charme grandeur .|Positive
extrême densité occupation cœur PARIS supposer amélioration réaliser adjonction sorte « curetage » activité ajouter prestige capitale trouver progressivement reporté extérieur .|Positive
assainissement quartier noble devoir conserver animation exubérance marquer caractéristique ambiance PARIS origine rayonnement .|Positive
banlieue insuffisance équipement élémentaire eau assainissement quelquefois voirie absence caractère urbain qualité interdisent développement harmonieux vie social équilibré .|Positive
pouvoir intérêt regrouper PARIS banlieue ville province .|Positive
titre service dépendre administration État installation pouvoir avantageusement localiser ville province relier capitale simplement nécessaire raison proximité banlieue emplacement choisir .|Positive
heure marché commun aller imposer nation français gros effort adaptation rationalisation activité industriel intérêt libérer emplacement occuper cœur agglomération financer partiellement réinstallation province meilleur condition .|Positive
équipement public judicieusement grouper pouvoir grâce réunion activité polyvalent créeront autour permettre installation développement élément secteur privé épanouiront climat vie clientèle minimum phénomène analogue « groupe » constater biologie .|Positive
réussite efficacité noyau urbain nouveau obtenir énergie précaution .|Positive
doute pouvoir public disposeront-il faciliter grouper programme logement important ( ordre dizaine ) implanter hôpital général spécialisé faculté collège universitaire lycée école .|Positive
réussir véritable ville indispensable activité tertiaire centre commercial important développer spontanément .|Positive
or réussite nouveau centre urbain réel attraction exercer suffisant attirer initiative privé besoin large clientèle .|Positive
donner masse réalisation disposera sûrement pouvoir espérer sembler pouvoir envisager création noyau judicieusement répartir .|Positive
disposer terrain libre facile libérer vaste ( 500 1.000 ) pouvoir trouver place programme logement ( densité fort ) service public prévoir pouvoir envisagé installation privé terrain devoir disponible aménagé recevoir facilement .|Positive
pouvoir raisonnablement prétendre faire mieux : construire cité 20 30.000 habitant organiser apporter activité indispensable .|Positive
conduite évolution progressif équipement urbain nombre emploi devoir adapter chiffre habitant pouvoir .|Positive
meilleur solution ville situer ( ) rapport PARIS condition « new towns » anglais rapport londre extension modéré permettre assimiler perdre caractère population nouveau égal légèrement supérieur population actuel ?|Positive
rationnel construire doter équipement voulus .|Positive
grâce effort concordant ville réussite pouvoir demander apporterait amélioration structure agglomération parisien ?|Positive
effort important coordonné aménagement équipement ailleurs indispensable servir habitant nouveau quartier quartier environnant commune voisin .|Positive
service public principal notamment établissement enseignement supérieur secondaire technique pouvoir installer centre affaire activité nature commercial industriel centre culture loisir pouvoir créer développer pôle attraction commune voisin autant important efficace liaison routière court - aisée moyen transport commun routier ferré concevoir améliorer faciliter accès .|Positive
pouvoir crainte tromper mesure noyau composé correctement construire équiper caractère grand ville conserver disponibilité suffisant terrain accueillir établissement caractère exceptionnel étendront progressivement zone influence commune voisin ; acquerront clientèle susceptible justifier succès complet .|Positive
devoir convenablement répartir autour PARIS pouvoir réaliser successivement temps .|Positive
élément pouvoir placer révéleront : falloir centre pouvoir réellement « démarrer » posséder déjà quelqu'un élément autour desquel venir facilement installer .|Positive
ceinturé bois verriÈre CLAMART meudon homme mort émerger plateau vélizy-villacoublay 700 hectare superficie situation abri pollution atmosphérique provenir agglomération parisien sain aéré présenter caractéristique correspondre principal critère énuméré chapitre 2 susceptible permettre réalisation ensemble intéressant jumelé agglomération versaillais aérodrome militaire occuper moitié pouvoir transférer ailleurs .|Positive
hypothèse construction ville-parc spécialement aménager sport loisir présenter également intérêt .|Positive
politique nouveau grand ensemble précisément objet promouvoir unité devoir convenablement équiper socialement équilibré économiquement cohérent comprendre côté logement école également service public équipement social commercial culturel conjuguant règle général zone habitation zone activité conformément politique rapprochement habitat travail .|Positive
opération rénovation reconquête PARIS facilité notamment capacité accueil grand ensemble banlieue devoir « jumelé » rénovation interne proximité souhaitable pouvoir conserver relation habitat travail voisin possible .|Positive
desserrement activité administratif universitaire contribuer rendre vie local banlieue permettre meilleur aménagement quartier parisien libération nombre emplacement pouvoir recevoir utilement affectation : espace vert parking .|Positive
équipement hôtelier devoir développer améliorer .|Positive
commerce « quotidien » grand magasin service administratif bureau étude recherche école spécialisé centre universitaire culturel ordre installation sportif théâtre sûrement année venir programme localisation groupé pouvoir opportunément choisir créer relais centre affaire parisien contribuer efficacement restructuration revitalisation banlieue cité satellite région .|Positive
transport commun ferré routier améliorer .|Positive
doute réseau autobus important compensé mesure difficulté adaptation devoir conception retarder amélioration important réseau ferré .|Positive
création nouveau noyau urbain principal secondaire progressivement application vouloir restructuration possible réussisse indispensable réseau transport ferré repensé esprit liaison rapide point région liaison convergent cœur PARIS .|Positive
exclure entendre amélioration réseau « omnibus » urbain suburbain électrification ligne assurer « traction vapeur » : vincenue banlieue électrification utilisation transport voyageur ligne « petit ceinture » ( rocade périphérique transport commun indiquer infrastructure exister presque totalité trajet ) pouvoir incorporation ligne banlieue S.N.C.F. desservir rond-point défense ) .|Positive
banlieue création important nouveau : autoroute ouest mise service guerre autoroute sud 1960 ; amélioration traverser déviation route national incontestablement faciliter circulation suivre loin rythme accroissement .|Positive
devoir traiter largement possible correctement aménagé planté isoler riverain bruit constituer cadre agréable .|Positive
— radial : réseau route national départemental devoir entendre améliorer mesure situation local permettre pratiquement réaliser ( élargissement passage niveau séparer latéral etc. ) dépense exagéré amélioration local faire déplacer géographiquement engorgement retomber loin « problème précédent » .|Positive
maintien titre intéressant éviter doute transport lointain .|Positive
utilité navigation canal Saint-Martin souvent discuter pouvoir demander couverture faciliterait création traversée nord-sud boulevard Villette quai Seine .|Positive
contribueront mieux améliorer niveau général équipement faciliter essor nouveau noyau urbain devoir créer conséquence décongestionnant établissement parisien .|Positive
captage supplémentaire perfectionnement puisage service ; accroissement débit étiage construction barrage amont Seine Marne apporter amélioration .|Positive
schéma général indiquer opération fonction situation existant évolution prévisible souhaitable secteur pouvoir inscrire Plan Aménagement organisation général région parisien .|Positive
développement consommation énergie électrique région parisien conduire vraisemblablement amélioration extension éventuel centrale existant création nouveau couloir ligne transport énergie électrique .|Positive
attribution commissaire construction urbanisme charger élaborer Plan Aménagement organisation général région parisien définir modalité réalisation opération prévu ( 1 ) permettre attirer attention moyen faciliteraient réalisation .|Positive
réussir œuvre important aménagement région indispensable autorité responsable bénéficier concours réserve représentant population opinion public intérêt privé multiple groupement toucher loin activité économique action social région .|Positive
or étude indispensable : étude technique économique proprement relatif réalisation réseau transport régional création nouveau aérodrome nord PARIS ; étude comparatif rentabilité groupe opération nature concourent objet : amélioration réseau routier existant création nouveau exemple ; — étude mesure nouveau institution taxe stationnement affecter création aménagement parking urbain etc.|Positive
politique exposer récemment parlement ( 1 ) : intensification mesure décentralisation secteur secondaire tertiaire décentralisation service public plan action revitalisation « région déprimé » action favoriser développement rayonnement grand ville faire véritable capitale régional ...|Positive
activité SECONDAIrE importance activité région parisien rappelé chapitre I examineron localisation répartition superficie occuper actuellement nécessaire meilleur aménagement région .|Positive
intérieur agglomération parisien proprement extérieur agglomération nombre ville développement modéré envisager répartition activité moyenne importance secteur zone rural localisation possible prévu quantité suffisant répondre besoin remise ordre progressif activité secteur secondaire agglomération parisien .|Positive
déplacement industrie intérieur limite région parisien agréé cadre plan général pouvoir accompagner avantage neutraliser coup sûr effort entreprendre ailleurs faveur meilleur aménagement ensemble territoire .|Positive
aménagement correct étudier nouveau zone activité région parisien devoir condition meilleur travail rapprochement lieu emploi habitat économie résulteront encouragement industriel transférer entreprise installer bâtiment vétuste mal adapter main-d' œuvre .|Positive
faciliter décentralisation établissement relever État ; 4 .|Positive
vue remédier grave inconvénient assurer meilleur équilibre capitale mieux équiper mieux aménager devoir conserver prestige national international province activité attrait devoir développer largement domaine fonction expansion démographique évolution prévisible activité action pouvoir public collectivité conformera principe : 1.|Positive
objectif pouvoir atteindre politique aménagement national notamment mesure favoriser développement capitale régional ligne pôle attraction frontière région parisien ( Orléans troye Reims Amiens Rouen Mans etc. ) .|Positive
améliorer équipement PARIS banlieue zone rural .|Positive
dév2lopper larmement politique foncière réaliser meilleur condition opération urbanisme importance permettre collectivité public lutter spéculation récupérer plus-value .|Positive
prévoir création nouveau noyau urbain principal noyau secondaire amorceront restructuration meilleur équipement agglomération parisien favoriser rénovation quartier vétuste insalubre PARIS banlieue .|Positive
or construire vision simple territoire indispensable pouvoir dédouaner approche complexe .|Positive
penser partenariat fondateur Philippe villien architecte urbaniste enseignant théoricien pair éveil perpétuel grand dette ; Jérôme maza paysagiste poésie savant accompagner beau projet Havre Bordeaux Saint-Étienne Toulouse engagement faille ; David chambolle ( Evp ) ingénieur créatif structure urbain ; Jean-Michel Roux économiste avisé ; François monjal regretton idée novatrice énergie heureusement savoir transmettre équipe formidable alphaville .|Positive
réponse résider processus : substitution progressif parcelle parcelle laisser grand place exister demeurer grand changement trame urbain existant piste travail fécond .|Positive
ville-paysage Pau complice nature environne ; château Henri IV balcon Pyrénées belvédère val hédas gave Pau tracé installer habileté sol .|Positive
faire sorte programme ordinaire disposer endroit bonifie voisinage question urbanisme .|Positive
défendre nécessité création SPLA conduire opération contrat État propriétaire université collectivité valoriser dizaine hectare sagement préservé .|Positive
savoir traiter aléa libérer contrainte terrain étude considérer préservation atout grand échelle territoire étendre .|Positive
part renoncer urbanisation : « sanctuarisation » territoire agricole presque île Loire positif agglomération solidarise devenir ensemble urbain constitueraient salutaire respiration .|Positive
confortement digue ouvrage technique centrer seul logique infrastructurel combine projet urbain ambitieux dépasser frontière commune ; devenir action fondatrice retournement agglomération Loire .|Positive
contrainte inversée susciter espoir renouvellement considérable .|Positive
limiter démarche sectoriel analyse aléa projet territorial mettre lumière avantage aménagement .|Positive
projet transformer problème urbain ( quartier dissocié ) technique ( nécessité contenir colline retenir eau ) atout paysager : parc support renouveau ville constituer .|Positive
approche transversal associer déplacement gestion risque développement urbain paysage grand dynamique programmatique avérer profitable utiliser travail infrastructure levier conserver cœur agglomération fort capacité développement .|Positive
grâce appui Parcs naturel régional équipe apporter regard transversal urbanisation doux adapter croissance contrastée commune .|Positive
préparer région Paris avenir - mission charge aménagement urbanisme - rendre vie meilleur million homme femme habitant aujourd'hui demain ; faire région outil économique efficace service collectivité national ; mettre beauté ancien créer beauté nouveau Parisien visiteur pays lointain pouvoir aimer .|Positive
"mesure mieux effort métropole équilibre devoir accomplir parvenir taux croissance nécessaire atteindre vouloir contribuer "" soulager "" efficacement région parisien ."|Positive
"rappeler nouveau partir moment nombre ville augmenter 3 % année important soutenir accroissement annuel ordre 25 % moyenne commencer "" soulager "" Paris triplement représenter effort considérable dépasser année récent ."|Positive
- prévoir nombre habitant région parisien trente-cinq an prévoir vouloir freinage métropole équilibre ville bassin parisien : contraire prévoir essor année récent commencement réveil faire hypothèse aller tripler an minimum doubler ; an 2090 région Paris 14 million habitant tôt .|Positive
voir grand sagesse garder réserve intra-muros temps hardiesse aller construire large périmètre urbain aujourd'hui . .|Positive
"Jadis limité mécène prince éclairé presque disparu révolution industriel prise conscience exister devoir "" construire beau "" devenir exigence collectif ."|Positive
ville nécessité implantation jouer niveau : - intérieur quartier : agencement implantation logement atelier bureau >service public transport ; - quartier : disposition rapport quartier fonction dominant résidence emploi commerce culture ; - grand agglomération : composition échelle géographie région urbain ensemble ville constituer ( 2 ) espace libre forestier agricole .|Positive
part retard lourd conséquence plan urbanisme plan financier : pouvoir réaliser aisément coût normal aujourd'hui demanderait demain expropriation prouesse technique coûteux résultat imparfait .|Positive
- niveau supérieur secteur ordre quart moitié arrondissement Paris opération rénovation intéressant pouvoir conçu combler lacune retard urbanisme ; niveau nécessaire ; niveau rare ; opération couvrir superficie hectare .|Positive
succès réhabilitation modernisation vieux quartier Paris banlieue lier extension agglomération .|Positive
"devoir attendre orientation précis extension réserve terrain équipement : composition "" creux "" "" "" ."|Positive
petit zone emploi créer auprès grand ensemble Massy sarcelle ; mise place facilité réduction montant redevance ; centre recherche implantent sud agglomération siège social ouest .|Positive
Dus initiative public privé marquer Paris sortir léthargie .|Positive
b ) nécessité urbanisme décalage importance construction étroitesse urbanisme mieux mieux percevoir .|Positive
changement dimension fondamental remédier mal déjà dénoncé : - faire face insuffisance clairement percevoir grand ensemble absence équipement collectif banlieue congestion centre remède créer centre urbain nouveau ville nouveau zone extension centre urbain renforcé diversifier rénové banlieue actuel ; - mettre fin pénurie terrain bâtir disparition espace libre falloir sortir hardiment périmètre agglomération fixer an choisir zone extension ; faciliter transport rapprocher habitat lieu loisir campagne extension spatial devoir canaliser axe préférentiel croissance progressif ville nouveau possible ; - permettre enfin interdépendance agglomération actuel extension venir espace construire espace libre ville agglomération campagne falloir organiser unité aller devenir agglomération parisien région urbain Paris .|Positive
prémiqre orientation améliorer réseau transport manière mettre centre portée habitant banlieue .|Positive
amélioration radical transport région Paris – apporter agglomération entier progrès décisif boulevard haussmann siècle métro Bienvenüe demi-siècle ville Paris c'est-à-dire raccourcissant distance réduire temps fatigue parcours - amélioration possible moyen moderne transport train autobus voiture bénéficier infrastructure convenable : ferré autoroute .|Positive
déuriÈmé orientation améliorer équipement banlieue niveau commune grand ensemble .|Positive
localisation préfecture étudier constituer élément fondamental restructuration banlieue ( Nanterre Bobigny Créteil ) création centre urbain nouveau ( cergy-pontoise Évry ) .|Positive
avantage social économique activité banlieue connaître ; agir : - faire éclore véritable vie urbain faire naître animation ignorer cité-dortoir vidée population journée ; - décongestionner cœur agglomération remédiant entassement local industriel commercial vétuste nombre atelier bureau faciliter réalisation Paris Seine opération rénovation aménagement ; - éviter allongement constant temps trajet domicile-travail remédier progressivement problème circulation transport naître migration sens unique matin banlieue Paris soir direction contraire .|Positive
""" densité "" centre permettre desserte facilité ; renforcer pouvoir attractif attirer implantation équipement complémentaire faciliter création centre ."|Positive
banque installer facilement côté administration zone résidentiel ; commerce favorisé situer contact lieu emploi ; revenir volontiers cultiver distraire loin lieu bureau achat .|Positive
oui considérer ville réunion population centre urbain succession quartier habitant résident quartier travailler acheter distraient volontiers ; sens - donner notion vivant ville portée actuel permanent administratif - ville nouveau région Paris vrai ville faute révision limite communal actuel espace occuperont étendre commune ( 1 ) .|Positive
couronne ville bassin parisien aller cesser rapprocher Paris devoir faire entraverait croissance réduirait soulagement extension rapide devoir apporter région Paris .|Positive
condition emploi créer déplacer périmètre actuel agglomération parisien localiseront facilement - difficilement - 100 150 kilomètre 50 kilomètre ; motif venir indiquer préférable activité installer ville bassin parisien existant 80 100 kilomètre .|Positive
doute seul espérance desserrement inéluctable activité économique développement nécessaire surface aboutir rapprocher ville nouveau logement emploi .|Positive
bord eau pouvoir réserver sport nautique installation industriel proximité fleuve indispensable ; fond vallée espace vert installation loisir habitat dispersé pouvoir mettre site généralement agréable boucle Seine rare qualité .|Positive
cœur banlieue actuel enfin relier progressivement rénover restructuré constitution centre urbain digne nom - Nanterre Saint-Denis Bobigny Créteil rungis-choisy-le-roi - perdront objectif atteindre appellation banlieue évoquer pauvre éloigner sous-équipé .|Positive
zone région nord axe meaux-pontoise sud axe melun-fant vocation principalement agricole forestier trouver confirmer ; ville petit moyen pouvoir croître raisonnablement fonction accueil fortement affirmer résidence secondaire forme loisir air .|Positive
enfin localisation terrain libre 40 hectare préfecture nouveau département Seine-Saint-Denis permettre créer Bobigny centre secondaire emploi commerce constituer élément essentiel restructuration ensemble secteur .|Positive
1 - ÉTAT actuil partie vallée urbaniser : Pontoise – Saint-Ouen - aumône persan - Beaumont - Champagne seul agglomération bénéficier développement industriel .|Positive
tracé ancien ville échelle susciter admiration raccorder réseau primaire régional assurer efficacement liaison centre préfectoral capitale nouveau développement région .|Positive
qualité site demeurer principal zone environnement mise péril devoir impérativement sauvegardé .|Positive
prise compte dynamisme sud-ouest nouveau direction cohérence schéma directeur permettre sauvegarde grand bénéfice zone ensemble agglomération .|Positive
plateau boisé inoccupé prêtera réalisation infrastructure accueil activité important cohérence ailleurs présence actuel établissement existant - centre étude nucléaire saclay ( C.E.N.S.|Positive
préservation site vital équilibre général région urbain ; devoir conserver caractère propre réserve naturel susceptible recevoir lieu choisir équipement culturel loisir éventuellement secteur strictement limiter noyau résidentiel faible densité .|Positive
