fichier|dynamique_brut|dynamique_text|dynamique_type
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""crea"" n=1><cause n=2>cet accroissement de <lieu type=""obj"" n=1>la région de Paris</lieu></cause></dyn>"|cet accroissement de la région de Paris|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""crea"">un doublement en superficie d'<lieu type=""obj"">un tissu urbain analogue à celui d'aujourd'hui</lieu></dyn>"|un doublement en superficie d'un tissu urbain analogue à celui d'aujourd'hui|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""crea"">La croissance de <lieu type=""obj"">Paris</lieu></dyn>"|La croissance de Paris|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""crea"" n=1>auraient en moyenne plus que doublé</dyn>"|auraient en moyenne plus que doublé|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""crea"" n=2>n'augmenterait que des deux tiers</dyn>"|n'augmenterait que des deux tiers|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""crea"" n=3>augmenteraient</dyn>"|augmenteraient|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""crea"" n=4>n'augmenterait que de 1,5 %</dyn>"|n'augmenterait que de 1,5 %|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""crea"" n=6>un ralentissement de la croissance de <lieu type=""obj"" n=6>la région de Paris</lieu></dyn>"|un ralentissement de la croissance de la région de Paris|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""crea"" n=7>une accélération de la croissance des <lieu type=""obj"" n=7>autres agglomérations</lieu></dyn>"|une accélération de la croissance des autres agglomérations|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""oui"" nature=""crea"">CROISSANCE DES <lieu type=""obj"">MÉTROPOLES D’ÉQUILIBRE</lieu></dyn>"|CROISSANCE DES MÉTROPOLES D’ÉQUILIBRE|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""crea"">double</dyn>"|double|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""crea"" temps=""fut"">progresseront plus faiblement</dyn>"|progresseront plus faiblement|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""crea"" n=3>augmentent davantage</dyn>"|augmentent davantage|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""crea"" n=4>triplent</dyn>"|triplent|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""crea"" n=2>un triplement</dyn>"|un triplement|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""oui"" nature=""crea"">CROISSANCE DES <lieu type=""obj"">AGGLOMÉRATIONS IMPORTANTES DU BASSIN PARISIEN</lieu></dyn>"|CROISSANCE DES AGGLOMÉRATIONS IMPORTANTES DU BASSIN PARISIEN|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""oui"" nature=""crea"">CROISSANCE DES <lieu type=""obj"">AGGLOMÉRATIONS MOYENNES	DU BASSIN PARISIEN</lieu></dyn>"|CROISSANCE DES AGGLOMÉRATIONS MOYENNES	DU BASSIN PARISIEN|cre
1965-SDAURP_CE_Oct23.txt|"<dyn nature=""crea"" n=1>la croissance <perc n=1>spontanée</perc> d'<lieu type=""obj"" n=1><dyn accompli=""non"" n=2>autres villes dynamiques</dyn>"|la croissance spontanée d'autres villes dynamiques|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""crea"" n=4>accroissement de <lieu type=""obj"" n=4>la région de Paris</lieu></dyn>"|accroissement de la région de Paris|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""crea"" proces=""progr"">augmentent de 3% <tps type=""iter"" n=1>chaque année</tps></dyn>"|augmentent de 3% chaque année|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""crea"" proces=""termin"" n=2>auront soutenu un accroissement annuel de l'ordre de 2,5 % en moyenne</dyn>"|auront soutenu un accroissement annuel de l'ordre de 2,5 % en moyenne|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""crea"" n=4>un triplement</dyn>"|un triplement|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""crea"" n=1>voir <tps>rapidement</tps> grandir <lieu type=""obj"" n=1>les autres villes de France</lieu></dyn>"|voir rapidement grandir les autres villes de France|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""crea"" temps=""fut"" n=2>deviendra plus grand</dyn>"|deviendra plus grand|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""oui"" nature=""crea"" n=2>leur essor</dyn>"|leur essor|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""crea"" proces=""progr"" n=1>une extension progressive</dyn>"|une extension progressive|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""crea"" temps=""fut"" n=2>l'orienter à mesure qu'elle se produira</dyn>"|l'orienter à mesure qu'elle se produira|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""crea"">son extension spatiale</dyn>"|son extension spatiale|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""crea"">Cette extension</dyn>"|Cette extension|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""crea"">presque doublés</dyn>"|presque doublés|cre
1965-SDAURP_CE_Oct23.txt|"<dyn nature=""crea""><lieu type=""obj""><res>les usines</res></lieu> et <lieu type=""obj""><res>les bureaux</res></lieu> construits</dyn>"|les usines et les bureaux construits|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""oui"" nature=""crea"" n=1><lieu type=""obj"" n=1,2><res n=1>bâtiments</res></lieu> construits</dyn>"|bâtiments construits|cre
1965-SDAURP_CE_Oct23.txt|"<dyn nature=""maint"" proces=""dur"" n=2>existent encore</dyn>"|existent encore|main
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""destr"" n=3><perc type=""autre"" n=3>devraient</perc> être systématiquement détruits</dyn>"|devraient être systématiquement détruits|dest
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""crea"">une extension en surface</dyn>"|une extension en surface|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""crea"" n=1><lieu type=""obj"" n=1>superficie</lieu> multipliée par 5</dyn>"|superficie multipliée par 5|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""crea"" n=2>cette évolution spontanée</dyn>"|cette évolution spontanée|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""crea""><lieu type=""obj"">superficie</lieu> doublée</dyn>"|superficie doublée|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""crea""><lieu type=""obj"">superficie</lieu> triplée</dyn>"|superficie triplée|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""crea"" n=1>seront construits</dyn>"|seront construits|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""repr"" proces=""iter"" n=2>remplaceront <lieu type=""obj"" n=2 n=3>une partie des équipements actuellement existants</lieu></dyn>"|remplaceront une partie des équipements actuellement existants|rep
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""destr"" n=3>la démolition</dyn>"|la démolition|dest
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""repr"" proces=""iter"" n=1>seraient reconstruits</dyn>"|seraient reconstruits|rep
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""repr"" proces=""iter"" n=2><lieu type=""obj"" n=2>les installations et les bâtiments</lieu> de remplacement</dyn>"|les installations et les bâtiments de remplacement|rep
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""crea"" n=3><lieu type=""obj"" n=3>surface</lieu> multipliée par 2</dyn>"|surface multipliée par 2|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""crea"" n=4><lieu type=""obj"" n=4>surface</lieu> multipliée par 3</dyn>"|surface multipliée par 3|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""crea"" n=5><lieu type=""obj"" n=5>surface</lieu> multipliée par 4</dyn>"|surface multipliée par 4|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""crea"">densifier <perc type=""axiol"" pol=""neg"">abusivement</perc> <lieu type=""obj"">les rares terrains disponibles</lieu></dyn>"|densifier abusivement les rares terrains disponibles|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""maint"" n=1>garder <lieu type=""obj"" n=1>des réserves</lieu></dyn>"|garder des réserves|main
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""crea"" n=2>aller construire</dyn>"|aller construire|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""crea"" n=1>leur extension</dyn>"|leur extension|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""crea"">expansion des <lieu type=""obj"">autres régions</lieu></dyn>"|expansion des autres régions|cre
1965-SDAURP_CE_Oct23.txt|"<dyn nature=""crea"">telle ou telle réalisation</dyn>"|telle ou telle réalisation|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""crea"">""construire <perc type=""axiol"" pol=""pos"">beau</perc>""</dyn>"|"""construire beau"""|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""crea"">leur implantation</dyn>"|leur implantation|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""crea"" n=1>une <perc type=""axiol"" pol=""pos"">bonne</perc> implantation</dyn>"|une bonne implantation|cre
1965-SDAURP_CE_Oct23.txt|"<dyn nature=""crea"" n=2>l'implantation des <lieu type=""obj"" n=2><res n=2>logements</res></lieu>, des <lieu type=""obj"" n=2><res n=2>ateliers</res></lieu>, des <lieu type=""obj"" n=2><res n=2>bureaux</res></lieu>, des <lieu type=""obj"" n=2<res n=2>>services publics</res></lieu>, des <lieu type=""obj"" n=2><res n=2>transports</res></lieu></dyn>"|"l'implantation des logements, des ateliers, des bureaux, des >services publics, des <lieu type=""obj"" n=2><res n=2>transports</res></lieu></dyn>"|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""crea""><lieu type=""obj""><res>zones</res></lieu> construites</dyn>"|zones construites|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""repr"" proces=""iter"" n=1><lieu type=""obj"" n=1>un secteur</lieu> de rénovation</dyn>"|un secteur de rénovation|rep
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""crea"" n=2><lieu type=""obj"" n=2>une zone</lieu> à urbaniser par priorité</dyn>"|une zone à urbaniser par priorité|cre
1965-SDAURP_CE_Oct23.txt|"<dyn nature=""crea"" n=1>la réalisation des <lieu type=""obj"" n=1><res n=1>grands ouvrages</res></lieu> et des <lieu type=""obj"" n=1><res n=1>programmes d’équipement</res></lieu></dyn>"|la réalisation des grands ouvrages et des programmes d’équipement|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""crea"">implanteront <lieu type=""obj""><res>les équipements</res></lieu></dyn>"|implanteront les équipements|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""crea"" n=2>réalisation des <lieu type=""obj"" n=2><res n=2>grands équipements d'infrastructure</res></lieu>, particulièrement de <lieu type=""obj"" n=2><res n=2>voies ferrées et d'autoroutes</res></lieu></dyn>"|réalisation des grands équipements d'infrastructure, particulièrement de voies ferrées et d'autoroutes|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""crea"" n=2><perc type=""autre"" n=2>peut</perc> être réalisé <perc type=""axiol"" pol=""pos"" n=2>aisément</perc> et <perc type=""axiol"" pol=""pos"" n=2>à coût normal</perc></dyn>"|peut être réalisé aisément et à coût normal|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""crea"">La réalisation effective d'<lieu type=""obj""><res>une région urbaine</res></lieu></dyn>"|La réalisation effective d'une région urbaine|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""oui"" nature=""crea"" n=1>les poussées de <lieu type=""obj"" n=1>la ville</lieu></dyn>"|les poussées de la ville|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""crea"" n=3>les extensions en surface de <lieu type=""obj"" n=3>cette agglomération</lieu></dyn>"|les extensions en surface de cette agglomération|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""crea"" n=1>cet agrandissement d'<lieu type=""obj"" n=1 n=2>une trame urbaine</lieu></dyn>"|cet agrandissement d'une trame urbaine|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""oui"" nature=""crea"" n=2>ont déjà étendue</dyn>"|ont déjà étendue|cre
1965-SDAURP_CE_Oct23.txt|"<dyn nature=""crea"" n=1>la croissance d'<lieu type=""obj"" n=1 n=3>une ville</lieu></dyn>"|la croissance d'une ville|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""oui"" nature=""crea"" proces=""iter"" n=2>successivement franchies</dyn>"|successivement franchies|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""crea"" proces=""dur"" n=3>a <tps axe_temp=""pas"" type=""dur"" n=3>toujours</tps> grandi</dyn>"|a toujours grandi|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""destr"" n=1><perc type=""axiol"" pol=""neg"" n=1>faire mourir</perc> <lieu type=""obj"" n=1>Paris</lieu></dyn>"|faire mourir Paris|dest
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""crea"" n=2>la croissance de <lieu type=""obj"" n=2>l'agglomération</lieu></dyn>"|la croissance de l'agglomération|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""maint"">l'entretien de <lieu type=""obj"">ses voies</lieu> et de <lieu type=""obj"">ses jardins</lieu></dyn>"|l'entretien de ses voies et de ses jardins|main
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""oui"" nature=""crea"" ><lieu type=""obj""><res>les zones</res></lieu> construites</dyn>"|les zones construites|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""oui"" nature=""crea"" n=1>a <perc type=""axiol"" n=1>dévoré</perc> <lieu type=""obj"" n=1>le petit département de la Seine</lieu></dyn>"|a dévoré le petit département de la Seine|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""oui"" nature=""crea"" n=2>a <perc type=""axiol"" n=2>mangé</perc> <lieu type=""obj"" n=2>le curieux anneau circulaire de Seine-et-Oise</lieu></dyn>"|a mangé le curieux anneau circulaire de Seine-et-Oise|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""oui"" nature=""crea"" n=3>a même <perc type=""axiol"" n=3>mordu</perc> <lieu type=""obj"" n=3>sur la Seine-et-Marne</lieu></dyn>"|a même mordu sur la Seine-et-Marne|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""modif"" n=4>en formeront <res n=4>huit</res></dyn>"|en formeront huit|modi
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""crea"">sa croissance</dyn>"|sa croissance|cre
1965-SDAURP_CE_Oct23.txt|"<dyn nature=""repr"" proces=""iter"">la rénovation</dyn>"|la rénovation|rep
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""destr"" proces=""dur"">la disparition rapide des <lieu type=""obj"">espaces libres</lieu></dyn>"|la disparition rapide des espaces libres|dest
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""oui"" nature=""crea"">ont été construits</dyn>"|ont été construits|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""oui"" nature=""crea"">construits</dyn>"|construits|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""crea"" proces=""inch"" n=1>Les constructions n'ont en effet repris</dyn>"|Les constructions n'ont en effet repris|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""oui"" nature=""crea"" n=2><lieu type=""obj"" n=2><res n=2>13.000 logements</res></lieu> terminés</dyn>"|13.000 logements terminés|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""oui"" nature=""crea"" n=1><lieu type=""obj"" n=1><res n=1>750.000 logements</res></lieu> terminés</dyn>"|750.000 logements terminés|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""crea"" proces=""dur"" n=2><lieu type=""obj"" n=2>plus de 200.000 logements</lieu> en cours de construction</dyn>"|plus de 200.000 logements en cours de construction|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""crea"">aura construit, <tps axe_temp=""pas"" type=""dur"">depuis 1953</tps>, <lieu type=""obj""><res>plus d'un million de logements</res></lieu></dyn>"|aura construit, depuis 1953, plus d'un million de logements|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""crea"">aura bâti <lieu type=""obj""><res>un autre Paris</res></lieu></dyn>"|aura bâti un autre Paris|cre
1965-SDAURP_CE_Oct23.txt|"<dyn nature=""crea"">s'étend en doigts de gant</dyn>"|s'étend en doigts de gant|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""crea"" proces=""progr"">se colmatent</dyn>"|se colmatent|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""oui"" nature=""crea"" n=1>ont été implantés</dyn>"|ont été implantés|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""destr"" proces=""dur"" n=2><lieu type=""obj"" n=2>espaces libres</lieu> en voie de disparition</dyn>"|espaces libres en voie de disparition|dest
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""repr"" proces=""dur+iter"" n=3><lieu type=""obj"" n=3>quartiers vétustes</lieu> <perc type=""axiol"" pol=""neg"" n=3>trop lentement</perc> repris par la rénovation</dyn>"|quartiers vétustes trop lentement repris par la rénovation|rep
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""oui/"" nature=""crea"" n=1><lieu type=""obj"" n=1><res n=1>Les constructions</res></lieu> réalisées</dyn>"|Les constructions réalisées|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""oui"" nature=""destr"" n=2>ont fait disparaître <lieu type=""obj"" n=2>beaucoup des espaces libres qui existaient</lieu></dyn>"|ont fait disparaître beaucoup des espaces libres qui existaient|dest
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""oui"" nature=""crea"" n=1>L'extension des <lieu type=""obj"" n=1>surfaces bâties</lieu></dyn>"|L'extension des surfaces bâties|cre
1965-SDAURP_CE_Oct23.txt|"<dyn nature=""crea"" n=2>développement ""en tache d'huile""</dyn>"|"développement ""en tache d'huile"""|cre
1965-SDAURP_CE_Oct23.txt|"<dyn nature=""crea"" n=3>l'agrandissement</dyn>"|l'agrandissement|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""oui"" nature=""crea"" n=1>la croissance passée de <lieu type=""obj"" n=1>l'agglomération de Paris</lieu></dyn>"|la croissance passée de l'agglomération de Paris|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""oui"" nature=""crea"" n=3>des extensions linéaires</dyn>"|des extensions linéaires|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""oui"" nature=""crea"" n=4>la construction des <lieu type=""obj"" n=4><res n=4>voies ferrées</res></lieu></dyn>"|la construction des voies ferrées|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""oui"" nature=""crea"" n=5>le comblement des <lieu type=""obj"" n=5>espaces interstitiels</lieu></dyn>"|le comblement des espaces interstitiels|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""crea"" proces=""dur"" n=1>se construisent</dyn>"|se construisent|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""crea"" proces=""dur"" n=2>s'étend</dyn>"|s'étend|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""oui"" nature=""crea"" n=3><res n=3>ces axes</res> nouveaux</dyn>"|ces axes nouveaux|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""maint"" proces=""dur"" n=1>demeurent libres</dyn>"|demeurent libres|main
1965-SDAURP_CE_Oct23.txt|"<dyn nature=""crea"" n=1>ces extensions ""linéaires""</dyn>"|"ces extensions ""linéaires"""|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""crea"" proces=""termin"" n=2>la fin du développement en tache d'huile</dyn>"|la fin du développement en tache d'huile|cre
1965-SDAURP_CE_Oct23.txt|"<dyn nature=""crea"" n=3>les extensions linéaires</dyn>"|les extensions linéaires|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""crea"" n=4><perc type=""boul"" n=4>veut</perc> construire</dyn>"|veut construire|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""oui"" nature=""crea"" n=5><lieu type=""obj"" n=5 n=6><res n=5>deux ou trois zones</res></lieu> <tps axe_temp=""pas"" n=5>déjà</tps> construites</dyn>"|deux ou trois zones déjà construites|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""oui"" nature=""crea"" n=6>équipées en réseaux d'eau, d'assainissement et d'électricité</dyn>"|équipées en réseaux d'eau, d'assainissement et d'électricité|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""crea"">le rythme de construction à soutenir</dyn>"|le rythme de construction à soutenir|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""crea"" n=1>seraient rapidement construits</dyn>"|seraient rapidement construits|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""crea"" n=2>un nouvel <lieu type=""obj"" n=2><res n=2>anneau continu de constructions</res></lieu></dyn>"|un nouvel anneau continu de constructions|cre
1965-SDAURP_CE_Oct23.txt|"<dyn nature=""crea"" n=1>s'étend</dyn>"|s'étend|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""oui"" nature=""destr"" n=1><lieu type=""obj"" n=1>les espaces libres</lieu> disparus</dyn>"|les espaces libres disparus|dest
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""oui"" nature=""crea"" n=2>ont été presqu'exclusivement édifiés</dyn>"|ont été presqu'exclusivement édifiés|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""oui"" nature=""crea"" n=1>leur construction</dyn>"|leur construction|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""oui"" nature=""crea"" n=2>placer</dyn>"|placer|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""oui"" nature=""crea"" n=3>ont été mis</dyn>"|ont été mis|cre
1965-SDAURP_CE_Oct23.txt|"<dyn nature=""maint"" proces=""dur"" n=1>demeurer en l'état</dyn>"|demeurer en l'état|main
1965-SDAURP_CE_Oct23.txt|"<dyn nature=""maint"" proces=""dur"" n=2>n'est guère possible de conserver <tps type=""dur"" n=2>longtemps</tps> <lieu type=""obj"" n=2>des terres agricoles presqu'enclavées dans la ville</lieu></dyn>"|n'est guère possible de conserver longtemps des terres agricoles presqu'enclavées dans la ville|main
1965-SDAURP_CE_Oct23.txt|"<dyn nature=""modif"" n=1>être aménagés</dyn>"|être aménagés|modi
1965-SDAURP_CE_Oct23.txt|"<dyn nature=""crea"" n=2>recevoir <lieu type=""obj"" n=2><res n=2>des stades</res></lieu>, <lieu type=""obj"" n=2><res n=2>des lycées</res></lieu>, <lieu type=""obj"" n=2><res n=2>des facultés</res></lieu>, <lieu type=""obj"" n=2><res n=2>des hôpitaux</res></lieu>, <lieu type=""obj"" n=2><res n=2>des zones d'emploi assez vastes</res></lieu></dyn>"|"recevoir des stades, des lycées, des facultés, des hôpitaux</lieu>, <lieu type=""obj"" n=2><res n=2>des zones d'emploi assez vastes</res></lieu></dyn>"|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""oui"" nature=""crea"" n=3>ont été construits</dyn>"|ont été construits|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""oui"" nature=""crea"" n=1>la construction de <lieu type=""obj"" n=1><res n=1>logements</res></lieu></dyn>"|la construction de logements|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""crea"" n=2>l'aménagement des <lieu type=""obj"" n=2>5.000 hectares de Z.U.P.</lieu></dyn>"|l'aménagement des 5.000 hectares de Z.U.P.|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""crea"" n=3><perc type=""axiol"" pol=""pos"" n=3>eut été préférable</perc> de bâtir</dyn>"|eut été préférable de bâtir|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""crea"" n=4><lieu type=""obj"" n=4>des zones</lieu> d'extension</dyn>"|des zones d'extension|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""crea"" n=1>implanter <lieu type=""obj"" n=1>des équipements pleinement satisfaisants</lieu></dyn>"|implanter des équipements pleinement satisfaisants|cre
